cluster,temperature,ice_particles,ice_mass,ice_length
1,248.622,6981,0.0038112292251448188,7.293
2,276.377,351,0.00019372474679978032,0.208
3,288.034,266,0.00014328675705806954,0.199
4,253.682,2822,0.0016037104922469805,0.863
5,250.04,152,8.122491778582673e-05,0.109
6,257.953,2501,0.0014582721746688899,0.835
7,250.274,337,0.0001940468787958419,0.291
8,253.283,823,0.0005208048900799216,0.335
9,253.506,657,0.0003713021666424695,0.284
10,264.418,167,0.0001195829765335986,0.201
11,234.078,91,5.04197692277149e-05,0.182
12,261.814,190,0.00011930500966101611,0.197
13,260.023,301,0.00016778181520611858,0.273
14,274.09,38,2.8856334349255472e-05,0.053
15,284.19,38,4.515020264427278e-05,0.0
16,265.58,217,0.00015601754476555433,0.21
17,287.42,38,3.204302682305396e-05,0.0
18,282.66,38,2.66137213799702e-05,0.011
19,287.237,114,8.049593074547072e-05,0.058
20,248.992,38,2.0400193843487748e-05,0.1
21,277.715,418,0.00028552969766965027,0.192
22,272.436,207,0.00013961433027882264,0.203
23,299.82,76,6.854198295205141e-05,0.005
24,263.616,186,0.00011059813785148867,0.234
25,302.287,114,8.46466793944171e-05,0.072
26,308.14,38,2.77923111738828e-05,0.026
27,309.46,76,6.26378466720128e-05,0.06
28,266.737,239,0.00013478135244420004,0.25
29,319.32,38,2.5660839189279006e-05,0.028
30,279.119,194,0.00012774447738045266,0.213
31,250.497,228,0.00012249315421073538,0.241
32,326.55,38,2.8090472995563107e-05,0.044
33,356.78,38,2.4417226854547012e-05,0.003
all,256.561,18050,0.010466817283469435,7.452
