cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,62,225.628,1242,1.8846298256911802e-07,44.203
2,63,235.588,2519,4.243226993125001e-06,6.706
3,64,232.676,1140,1.0056296834838997e-06,5.438
4,65,233.096,1102,1.768333970844618e-06,4.591
5,66,232.178,380,3.323695580658839e-07,2.829
6,67,228.905,248,7.781764914448843e-08,2.647
7,68,236.354,190,3.669925613113954e-07,1.881
8,69,231.847,114,1.5907913471626467e-08,1.993
9,70,236.505,76,2.1695072678479435e-11,0.851
10,71,231.271,57,7.473338159655983e-09,1.84
all,all,232.497,7068,8.006236345248442e-06,47.286
