Timesteps,Total,noIce,Ice,Percentage,Temp
0.06,421,418,3,0.71,604.26
0.07,840,709,131,15.6,461.99
0.08,1269,794,475,37.43,393.59
0.09,1695,911,784,46.25,355.79
0.1,2114,1295,819,38.74,332.04
0.11,2190,1358,832,37.99,329.25
0.12,2193,1365,828,37.76,328.18
0.13,2171,1363,808,37.22,329.26
0.14,2175,1364,811,37.29,330.16
0.15,2183,1357,826,37.84,328.92
0.16,2174,1359,815,37.49,329.36
0.17,2177,1365,812,37.3,329.26
0.18,2190,1351,839,38.31,330.73
0.19,2181,1362,819,37.55,329.0
0.2,2189,1351,838,38.28,328.5
